Time, z, vz, sphericity, size
0.240000, 0.903488, 0.740524, 1.067611, 0.000000
0.242500, 0.888603, 0.726325, 1.038963, 0.000000
0.245000, 0.921979, 0.688503, 1.090530, 0.000000
0.247500, 0.915471, 0.855792, 0.851797, 0.000000
0.250000, 0.928330, 0.674978, 1.075251, 0.000000
Time, z, vz, sphericity, size
0.000000, 0.500000, 0.000000, 1.008196, 0.000000
0.002500, 0.500000, 0.004620, 1.008196, 0.000000
0.005000, 0.499996, 0.038686, 1.008171, 0.000000
0.007500, 0.500052, 0.073175, 1.008239, 0.000000
0.010000, 0.500187, 0.107550, 1.008262, 0.000000
0.012500, 0.500406, 0.141777, 1.008254, 0.000000
0.015000, 0.500712, 0.175843, 1.008224, 0.000000
0.017500, 0.501109, 0.209738, 1.008172, 0.000000
0.020000, 0.501599, 0.243458, 1.008103, 0.000000
0.022500, 0.502182, 0.276994, 1.008026, 0.000000
0.025000, 0.502859, 0.310343, 1.007939, 0.000000
0.027500, 0.503632, 0.343507, 1.007851, 0.000000
0.030000, 0.504500, 0.376492, 1.007760, 0.000000
0.032500, 0.505465, 0.409298, 1.007671, 0.000000
0.035000, 0.506528, 0.441924, 1.007589, 0.000000
0.037500, 0.507690, 0.474358, 1.007516, 0.000000
0.040000, 0.508951, 0.506590, 1.007457, 0.000000
0.042500, 0.510312, 0.538622, 1.007406, 0.000000
0.045000, 0.511774, 0.570456, 1.007366, 0.000000
0.047500, 0.513336, 0.602060, 1.007336, 0.000000
0.050000, 0.514996, 0.633372, 1.007310, 0.000000
0.052500, 0.516748, 0.664367, 1.007279, 0.000000
0.055000, 0.518588, 0.695059, 1.007232, 0.000000
0.057500, 0.520506, 0.725455, 1.007168, 0.000000
0.060000, 0.522497, 0.755518, 1.007083, 0.000000
0.062500, 0.524553, 0.785131, 1.006981, 0.000000
0.065000, 0.526668, 0.814136, 1.006872, 0.000000
0.067500, 0.528841, 0.842438, 1.006771, 0.000000
0.070000, 0.531072, 0.870006, 1.006682, 0.000000
0.072500, 0.533367, 0.896912, 1.006603, 0.000000
0.075000, 0.535731, 0.923134, 1.006549, 0.000000
0.077500, 0.538171, 0.948734, 1.006514, 0.000000
0.080000, 0.540691, 0.973654, 1.006505, 0.000000
0.082500, 0.543294, 0.997533, 1.006526, 0.000000
0.085000, 0.545986, 1.020273, 1.006589, 0.000000
0.087500, 0.548776, 1.042140, 1.006709, 0.000000
0.090000, 0.551683, 1.063240, 1.006910, 0.000000
0.092500, 0.554718, 1.083569, 1.007160, 0.000000
0.095000, 0.557883, 1.102755, 1.007429, 0.000000
0.097500, 0.561160, 1.121049, 1.007647, 0.000000
0.100000, 0.564518, 1.138601, 1.007763, 0.000000
0.102500, 0.567919, 1.155376, 1.007758, 0.000000
0.105000, 0.571325, 1.171268, 1.007637, 0.000000
0.107500, 0.574705, 1.186416, 1.007392, 0.000000
0.110000, 0.578037, 1.200082, 1.007069, 0.000000
0.112500, 0.581312, 1.211474, 1.006731, 0.000000
0.115000, 0.584528, 1.221254, 1.006402, 0.000000
0.117500, 0.587704, 1.229877, 1.006204, 0.000000
0.120000, 0.590855, 1.237827, 1.006049, 0.000000
0.122500, 0.593996, 1.245183, 1.006050, 0.000000
0.125000, 0.597155, 1.252479, 1.006011, 0.000000
0.127500, 0.600373, 1.259942, 1.005610, 0.000000
0.130000, 0.603699, 1.251014, 0.999532, 0.000000
0.132500, 0.606471, 1.211208, 0.986272, 0.000000
0.135000, 0.607940, 1.159162, 0.980045, 0.000000
0.137500, 0.607066, 1.111012, 0.978311, 0.000000
0.140000, 0.603145, 1.045900, 0.942086, 0.000000
0.142500, 0.597280, 1.015406, 0.948695, 0.000000
0.145000, 0.593527, 1.031503, 0.963223, 0.000000
0.147500, 0.598888, 0.996274, 0.981493, 0.000000
0.150000, 0.599870, 1.022337, 0.976219, 0.000000
0.152500, 0.610044, 1.009300, 1.051763, 0.000000
0.155000, 0.627819, 0.965740, 1.009873, 0.000000
0.157500, 0.634031, 0.950042, 1.000226, 0.000000
0.160000, 0.651920, 0.884224, 1.059151, 0.000000
0.162500, 0.669381, 0.857560, 1.052741, 0.000000
0.165000, 0.682316, 0.869393, 0.993331, 0.000000
0.167500, 0.694556, 0.803775, 1.122590, 0.000000
0.170000, 0.715487, 0.785339, 1.065151, 0.000000
0.172500, 0.731099, 0.798870, 1.031538, 0.000000
0.175000, 0.746428, 0.727945, 1.119509, 0.000000
0.177500, 0.747667, 0.807935, 1.012817, 0.000000
0.180000, 0.759396, 0.685325, 1.175790, 0.000000
0.182500, 0.782303, 0.713844, 1.167197, 0.000000
0.185000, 0.785446, 0.763417, 1.036498, 0.000000
0.187500, 0.795983, 0.697742, 1.143364, 0.000000
0.190000, 0.793841, 0.830966, 0.961092, 0.000000
0.192500, 0.804273, 0.648229, 1.216080, 0.000000
0.195000, 0.800374, 0.847166, 0.930272, 0.000000
0.197500, 0.805227, 0.671953, 1.228212, 0.000000
0.200000, 0.827044, 0.696551, 1.173570, 0.000000
0.202500, 0.820910, 0.765463, 1.079053, 0.000000
0.205000, 0.818129, 0.819940, 0.996572, 0.000000
0.207500, 0.832029, 0.794139, 1.016546, 0.000000
0.210000, 0.833171, 0.793943, 1.044536, 0.000000
0.212500, 0.824914, 0.799780, 1.020169, 0.000000
0.215000, 0.798073, 0.882808, 0.891904, 0.000000
0.217500, 0.779159, 0.736696, 1.055356, 0.000000
0.220000, 0.819649, 0.682320, 1.180938, 0.000000
0.222500, 0.834423, 0.594900, 1.319326, 0.000000
0.225000, 0.838603, 0.740987, 1.038963, 0.000000
0.227500, 0.872506, 0.694929, 1.103680, 0.000000
0.230000, 0.858222, 0.725801, 0.998856, 0.000000
0.232500, 0.873466, 0.665827, 1.151645, 0.000000
