4510 4
0 0 0.000000000000000e+00
41 0 0.000000000000000e+00
82 0 0.000000000000000e+00
123 0 0.000000000000000e+00
164 0 0.000000000000000e+00
205 0 0.000000000000000e+00
246 0 0.000000000000000e+00
287 0 0.000000000000000e+00
328 0 0.000000000000000e+00
369 0 0.000000000000000e+00
410 0 0.000000000000000e+00
451 0 0.000000000000000e+00
492 0 0.000000000000000e+00
533 0 0.000000000000000e+00
574 0 0.000000000000000e+00
615 0 0.000000000000000e+00
656 0 0.000000000000000e+00
697 0 0.000000000000000e+00
738 0 0.000000000000000e+00
779 0 0.000000000000000e+00
820 0 0.000000000000000e+00
861 0 0.000000000000000e+00
902 0 0.000000000000000e+00
943 0 0.000000000000000e+00
984 0 0.000000000000000e+00
1025 0 0.000000000000000e+00
1066 0 0.000000000000000e+00
1107 0 0.000000000000000e+00
1148 0 0.000000000000000e+00
1189 0 0.000000000000000e+00
1230 0 0.000000000000000e+00
1271 0 0.000000000000000e+00
1312 0 0.000000000000000e+00
1353 0 0.000000000000000e+00
1394 0 0.000000000000000e+00
1435 0 0.000000000000000e+00
1476 0 0.000000000000000e+00
1517 0 0.000000000000000e+00
1558 0 0.000000000000000e+00
1599 0 0.000000000000000e+00
1640 0 0.000000000000000e+00
1681 0 0.000000000000000e+00
1722 0 0.000000000000000e+00
1763 0 0.000000000000000e+00
1804 0 0.000000000000000e+00
1845 0 0.000000000000000e+00
1886 0 0.000000000000000e+00
1927 0 0.000000000000000e+00
1968 0 0.000000000000000e+00
2009 0 0.000000000000000e+00
2050 0 0.000000000000000e+00
2091 0 0.000000000000000e+00
2132 0 0.000000000000000e+00
2173 0 0.000000000000000e+00
2214 0 0.000000000000000e+00
2255 0 0.000000000000000e+00
2296 0 0.000000000000000e+00
2337 0 0.000000000000000e+00
2378 0 0.000000000000000e+00
2419 0 0.000000000000000e+00
2460 0 0.000000000000000e+00
2501 0 0.000000000000000e+00
2542 0 0.000000000000000e+00
2583 0 0.000000000000000e+00
2624 0 0.000000000000000e+00
2665 0 0.000000000000000e+00
2706 0 0.000000000000000e+00
2747 0 0.000000000000000e+00
2788 0 0.000000000000000e+00
2829 0 0.000000000000000e+00
2870 0 0.000000000000000e+00
2911 0 0.000000000000000e+00
2952 0 0.000000000000000e+00
2993 0 0.000000000000000e+00
3034 0 0.000000000000000e+00
