46170 4
0 0 0.000000000000000e+00
0 1 0.000000000000000e+00
0 2 0.000000000000000e+00
81 0 0.000000000000000e+00
81 1 0.000000000000000e+00
81 2 0.000000000000000e+00
162 0 0.000000000000000e+00
162 1 0.000000000000000e+00
162 2 0.000000000000000e+00
243 0 0.000000000000000e+00
243 1 0.000000000000000e+00
243 2 0.000000000000000e+00
324 0 0.000000000000000e+00
324 1 0.000000000000000e+00
324 2 0.000000000000000e+00
405 0 0.000000000000000e+00
405 1 0.000000000000000e+00
405 2 0.000000000000000e+00
486 0 0.000000000000000e+00
486 1 0.000000000000000e+00
486 2 0.000000000000000e+00
567 0 0.000000000000000e+00
567 1 0.000000000000000e+00
567 2 0.000000000000000e+00
648 0 0.000000000000000e+00
648 1 0.000000000000000e+00
648 2 0.000000000000000e+00
729 0 0.000000000000000e+00
729 1 0.000000000000000e+00
729 2 0.000000000000000e+00
810 0 0.000000000000000e+00
810 1 0.000000000000000e+00
810 2 0.000000000000000e+00
891 0 0.000000000000000e+00
891 1 0.000000000000000e+00
891 2 0.000000000000000e+00
972 0 0.000000000000000e+00
972 1 0.000000000000000e+00
972 2 0.000000000000000e+00
1053 0 0.000000000000000e+00
1053 1 0.000000000000000e+00
1053 2 0.000000000000000e+00
1134 0 0.000000000000000e+00
1134 1 0.000000000000000e+00
1134 2 0.000000000000000e+00
1215 0 0.000000000000000e+00
1215 1 0.000000000000000e+00
1215 2 0.000000000000000e+00
1296 0 0.000000000000000e+00
1296 1 0.000000000000000e+00
1296 2 0.000000000000000e+00
1377 0 0.000000000000000e+00
1377 1 0.000000000000000e+00
1377 2 0.000000000000000e+00
1458 0 0.000000000000000e+00
1458 1 0.000000000000000e+00
1458 2 0.000000000000000e+00
1539 0 0.000000000000000e+00
1539 1 0.000000000000000e+00
1539 2 0.000000000000000e+00
1620 0 0.000000000000000e+00
1620 1 0.000000000000000e+00
1620 2 0.000000000000000e+00
1701 0 0.000000000000000e+00
1701 1 0.000000000000000e+00
1701 2 0.000000000000000e+00
1782 0 0.000000000000000e+00
1782 1 0.000000000000000e+00
1782 2 0.000000000000000e+00
1863 0 0.000000000000000e+00
